LINEGEOMETRYC
IDOBJ_GID,IDOBJ_NAME,IDOBJ_ALIAS,IDOBJ_CUSTOMID,1152921504606912257,LINEGEOMETRYC_HEIGHT,LINEGEOMETRYC_NEUTRAL,LINEGEOMETRYC_PHASECOUNT,LINEGEOMETRYC_XA,LINEGEOMETRYC_YA,LINEGEOMETRYC_XB,LINEGEOMETRYC_YB,LINEGEOMETRYC_XC,LINEGEOMETRYC_YC,LINEGEOMETRYC_XN,LINEGEOMETRYC_YN
GID,Name,Alias,Custom ID,Visible en producción,Height,Neutral conductor,Phase count,Xa,Ya,Xb,Yb,Xc,Yc,Xn,Yn
"1318429117330246977","GIS_LGC_15m_False_-1.1m_0m_0.4m_0m_0.7m_0m_0m_0m_3","","B2FD67329E34F8FC3B4210D09031183A68444A69","true","15","false","3","-1.1","0","0.4","0","0.7","0","-0.5","-0.5"
"1318429117330246938","GIS_LGC_14m_False_0.7m_0m_0m_0.8m_0m_0m_0m_0m_2","","FD50CD43299B0449EA574A6F6B0424E779BFFB2F","true","14","false","2","0.7","0","0","0.8","0.5","0","-0.5","-0.5"
"1318429117330246927","GIS_LGC_15m_False_-1.1m_0m_0m_0m_1.1m_0m_0m_0m_3","","52B7ED97DBAB3B3BD3161FD54C2B958E2A0F631D","true","15","false","3","-1.1","0","0","0","1.1","0","-0.5","-0.5"
"1318429117330246920","GIS_LGC_10m_False_-1.8m_0m_0m_0m_1.8m_0m_0m_0m_3","","5D1EEA8A79FCACDCC68836BB8AF5C80AD24065AA","true","10","false","3","-1.8","0","0","0","1.8","0","-0.5","-0.5"
"1318429117330246916","GIS_LGC_11m_False_-1.8m_0m_0m_0m_0m_0m_0m_0m_2","","E3A6BDA1FF0A14ABDC6CBB6D6CA5E65AD0F52EAC","true","11","false","2","-1.8","0","0","0","0.5","0","-0.5","-0.5"
"1318429117330246863","GIS_LGC_10m_False_0m_0m_-1.8m_0m_0m_0.8m_0m_0m_2","","EFF9B74536F4697FC5D8792DBA008D924E64229E","true","10","false","2","-0.5","0","-1.8","0","0","0.8","-0.5","-0.5"
"1318429117330246862","GIS_LGC_12m_False_-0.7m_0m_0m_0m_0m_0m_0m_0m_2","","9C9A14D704EA99D823EDD4CE0A3FD16E783A0096","true","12","false","2","-0.7","0","0","0","0.5","0","-0.5","-0.5"
"1318429117330246855","GIS_LGC_12m_False_-1.8m_0m_0m_0.8m_1.8m_0m_0m_0m_3","","A40EAA6FFFA999BD22F5571051143FB964E26F44","true","12","false","3","-1.8","0","0","0.8","1.8","0","-0.5","-0.5"
"1318429117330246841","GIS_LGC_12m_False_0m_0m_-1.8m_0m_0m_0m_0m_0m_2","","26EBD7F2D9A1828FB8B17EF8B70AA31E91D930AF","true","12","false","2","-0.5","0","-1.8","0","0","0","-0.5","-0.5"
"1318429117330246828","GIS_LGC_9m_False_-0.6m_0m_0m_0.8m_0.6m_0m_0m_0m_3","","1100ABF029C7D1291727A9891C5431582B390959","true","9","false","3","-0.6","0","0","0.8","0.6","0","-0.5","-0.5"
"1318429117330246791","GIS_LGC_16m_False_-0.6m_0m_0m_0.8m_0.6m_0m_0m_0m_3","","2B5BE6C34B83114E563364E3DC5397C415C2985E","true","16","false","3","-0.6","0","0","0.8","0.6","0","-0.5","-0.5"
"1318429117330246761","GIS_LGC_14m_False_-1.8m_0m_0m_0.8m_0m_0m_0m_0m_2","","4F4353A6FECB1E4D72374892A4D6E96C06D1092A","true","14","false","2","-1.8","0","0","0.8","0.5","0","-0.5","-0.5"
