datetime;Version;KindExecution;FeederList;CustomId
2022-09-02 10:26:39;PLOAIZA.GIS20220816053_WODI_SF_002_03_PO;P;127000000021708,127000000021759,127000000021740;20220902102639_3059
2022-09-02 10:34:24;JNGAVIRIA.GIS20220816843_WO400413885_PO;P;127000000013365;20220902103424_3124
2022-09-02 10:46:14;AMVELEZ.GIS20220802575_WODI_PS_026_06_PO;P;127000000016534;20220902104614_3234
2022-09-02 10:55:39;;F;127000000015686;20220902105539_3349
2022-09-02 11:06:50;EDELGADO.GIS20220900100_NWO;P;127000000014345;20220902110650_2940
2022-09-02 11:20:43;PLOAIZA.GIS20220809235_NWO;P;127000000015023;20220902112043_3073
2022-09-02 11:22:18;CMVALLEJO.GIS20220810594_NWO;P;127000000015023;20220902112218_3068
2022-09-02 11:38:47;RVANEGASB.GIS20220812147_NWO;P;127000000014760;20220902113847_3257
2022-09-02 11:53:23;MHHERRERA.GIS20220812031_NWO;P;127000000014892;20220902115323_3383
2022-09-02 11:57:35;JMPARRA.GIS20220812716_NWO;P;127000000015023;20220902115735_3435
2022-09-02 12:09:08;DFLOPEZ.GIS20220813496_NWO;P;127000000021661;20220902120908_2998
2022-09-02 12:09:30;JSDIAZD.GIS20220813518_NWO;P;127000000009481;20220902120930_3020
2022-09-02 12:10:08;ALSOLANO.GIS20220808212_NWO;P;127000000013306;20220902121008_3008
2022-09-02 12:13:07;MICARVAJAL.GIS20220817998_NWO;P;127000000014760;20220902121307_3037
