,job_id,job_name,step_name,version
0,2595,20220800122,Finalizado,.
1,2604,20220800262,Finalizado,HRRODRIGUEZS.GIS20220800262_WO400465533_PO
2,2597,20220800149,Promover en ADMS,JNGAVIRIA.GIS20220800149_NWO
3,2901,20220800432,Definir,.
4,2897,20220800361,Prediseño en StandBy,.
5,2902,20220800491,Prediseño en StandBy,.
6,2903,20220800505,Promover en ADMS,CMVALLEJO.GIS20220800505_NWO
7,2598,20220800157,Definir,.
8,2599,20220800165,Definir,.
9,2601,20220800191,Editar Prediseño,.
10,2602,20220800203,Finalizado,EDELGADO.GIS20220800203_NWO
11,2603,20220800221,Definir,.
12,2605,20220800300,Definir,.
13,2606,20220800319,Finalizado,.
14,2607,20220800343, Diseño en StandBy,EDELGADO.GIS20220800343_NWO
15,2608,20220800351,Definir,.
16,2898,20220800386,Promover en ADMS,OIZQUIERDO.GIS20220800386_WO400485044_PO
17,2259,20220800051,Editar Prediseño,.
18,2260,20220800068,Revisar Prediseño,.
19,2899,20220800394,Promover en ADMS,DAARBELAEZ.GIS20220800394_WO400485051_PO
20,2900,20220800424,Definir,.
21,2593,20220800092,Promover en ADMS,DAARBELAEZ.GIS20220800092_NWO
22,2594,20220800106,Finalizado,MHHERRERA.GIS20220800106_NWO
23,2592,20220800440,Definir,.
24,2929,20220800459,Prediseño en StandBy,.
25,2913,20220800408,Promover en ADMS,DFLOPEZ.GIS20220800408_WO400485054_PO
26,2930,20220800467,Promover en ADMS,ALSOLANO.GIS20220800467_WO400480363_PO
27,2945,20220800475,Anular TQ,.
28,2932,20220800513, Diseño en StandBy,RVANEGASB.GIS20220800513_NWO
29,2933,20220800521,Definir,.
30,2934,20220800531,Anular TQ,.
31,2935,20220800548,Definir,.
32,2904,20220800556,Definir,.
33,2931,20220800483,Editar Diseño,AORTIZJ.GIS20220800483_NWO
34,961,20220700349,Revisión TQ,RDGONZALEZ.GIS20220700349_NWO_PO
35,2578,20220800084,Finalizado,MICARVAJAL.GIS20220800084_NWO
36,2579,20220800114,Finalizado,JSDIAZD.GIS20220800114_NWO
37,2580,20220800181, Diseño en StandBy,RVANEGASB.GIS20220800181_NWO
38,2581,20220800211,Definir,.
39,2582,20220800238,Finalizado,JIDROBO.GIS20220800238_NWO
40,2583,20220800246,Definir,.
41,2257,20220800025,Prediseño en StandBy,PLOAIZA.GIS20220800025_NWO_PO
42,1938,20220800017,Espera Confirmación ADMS,RDGONZALEZ.GIS20220800017_NWO
43,1939,20220800033,Finalizado,AMVELEZ.GIS20220800033_NWO
44,2584,20220800254,Definir,.
45,2585,20220800270,Definir,.
46,2586,20220800289,Definir,.
47,2587,20220800297,Prediseño en StandBy,.
48,2588,20220800327,Definir,.
49,2589,20220800335,Definir,.
50,2590,20220800378,Prediseño en StandBy,.
51,2940,20220800645,Definir,.
